ID     	  num   DS      RS      x1      x2      x3      WIS     TS        DP      RP      y1      WIP     TP
Haverstraw 1	251	294	10	7	3	0	565	  274 	  338 	  3 	  2 	  617 
Haverstraw 2	419	204	10	3	7	0	643	  461 	  230 	  3 	  3 	  697 
Haverstraw 3	427	227	15	6	4	0	679	  440 	  289 	  8 	  1 	  738 
Haverstraw 4	451	195	14	4	5	0	669	  497 	  241 	  5 	  0   	  743 
Haverstraw 6	323	86	5	1	2	0	417	  367 	  110 	  9 	  1 	  487 
Haverstraw 7	308	103	4	1	7	0	423	  354 	  135 	  3 	  1 	  493 
Haverstraw 8	153	30	1	1	2	0	187	  171 	  46 	  1 	  0   	  218 
Haverstraw 9	469	193	13	1	4	0	680	  509 	  249 	  4 	  0   	  762 
Haverstraw 10	480	234	21	5	5	0	745	  554 	  256 	  6 	  3 	  819 
Haverstraw 11	186	98	7	2	1	0	294	  194 	  115 	  5 	  2 	  316 
Haverstraw 12	66	48	0	0	2	0	116	  74 	  60 	  1 	  0   	  135 
Haverstraw 13	436	132	5	1	4	0	578	  464 	  147 	  10 	  1 	  622 
Haverstraw 14	585	275	20	6	9	1	896	  615 	  355 	  13 	  3 	  986 
Haverstraw 15	88	34	1	1	0	0	124	  100 	  39 	  0   	  0   	  139 
Haverstraw 16	468	149	12	2	2	0	633	  515 	  185 	  12 	  0   	  712 
Haverstraw 17	291	179	47	9	19	0	545	  308 	  258 	  4 	  4 	  574 
Haverstraw 18	521	114	8	2	3	1	649	  558 	  147 	  4 	  1 	  710 
Haverstraw 19	192	163	12	5	0	0	372	  203 	  203 	  2 	  0   	  408 
Haverstraw 20	389	263	12	10	10	1	685	  400 	  320 	  5 	  2 	  727 
Haverstraw 21	565	269	13	2	4	0	853	  598 	  309 	  7 	  0   	  914 
Haverstraw 22	370	410	13	2	13	1	809	  405 	  455 	  8 	  3 	  871 
Haverstraw 23	224	297	10	4	3	0	538	  256 	  336 	  3 	  2 	  597 
Haverstraw 24	146	84	10	4	6	0	250	  147 	  109 	  3 	  2 	  261 
Haverstraw 25	195	207	17	1	15	0	435	  207 	  247 	  11 	  2 	  467 
Haverstraw 26	69	82	5	1	1	0	158	  71 	  95 	  0   	  1 	  167 
Haverstraw 27	31	23	4	0	0	0	58	  31 	  32 	  0   	  0   	  63 
Haverstraw 28	165	102	0	3	0	0	270	  172 	  122 	  1 	  0   	  295 
Haverstraw 29	175	179	34	2	14	1	405	  179 	  241 	  2 	  1 	  423 
Haverstraw 30	348	108	14	0	9	0	479	  363 	  157 	  0   	  1 	  521 
