ID     num      DS      RS      TPS     WIS     TS      DP      RP      WIP     TP
Orangetown 1	676	212	1	2	891	668	228	14	910
Orangetown 2	552	115	1	1	669	570	131	8	709
Orangetown 3	183	254	0	1	438	175	274	7	456
Orangetown 4	193	248	2	1	444	190	257	9	456
Orangetown 5	403	74	1	1	479	408	81	6	495
Orangetown 6	185	175	2	1	363	183	189	5	377
Orangetown 7	373	58	0	0	431	381	69	2	452
Orangetown 8	402	80	2	0	484	396	87	11	494
Orangetown 9	472	516	6	0	994	455	572	14	1041
Orangetown 10	167	211	0	0	378	171	224	3	398
Orangetown 11	570	105	8	0	683	576	120	7	703
Orangetown 12	448	230	1	1	680	442	242	10	694
Orangetown 13	316	206	5	0	527	309	217	11	537
Orangetown 14	433	119	2	1	555	437	119	11	567
Orangetown 15	245	70	2	1	318	242	75	8	325
Orangetown 16	322	211	2	0	535	332	228	7	567
Orangetown 17	247	375	2	0	624	244	395	9	648
Orangetown 18	406	85	0	3	494	409	95	6	510
Orangetown 19	176	338	0	0	514	176	349	5	530
Orangetown 20	271	488	2	0	761	261	531	12	804
Orangetown 21	294	192	1	0	487	290	205	11	506
Orangetown 22	221	413	1	0	635	208	439	9	656
Orangetown 23	150	322	0	0	472	149	344	5	498
Orangetown 24	180	323	1	1	505	174	345	4	523
Orangetown 25	129	345	0	9	483	149	334	5	488
Orangetown 26	369	464	2	1	836	363	485	7	855
Orangetown 27	161	289	2	1	453	156	310	10	476
Orangetown 28	312	368	2	1	683	285	401	8	694
Orangetown 29	206	384	1	1	592	207	397	6	610
Orangetown 30	138	316	1	0	455	141	335	4	480
Orangetown 32	138	52	1	0	191	136	61	5	202
Orangetown 33	373	232	3	2	610	372	254	7	633
Orangetown 34	203	339	3	0	545	197	377	6	580
Orangetown 36	30	25	1	0	56	45	34	0	79
Orangetown 39	230	252	1	0	483	236	256	4	496
Orangetown 40	237	307	3	0	547	219	341	6	566
Orangetown 41	322	466	3	1	792	323	485	7	815
Orangetown 42	291	301	3	0	595	295	316	5	616
Orangetown 43	211	326	1	0	538	202	356	4	562
Orangetown 45	234	405	0	1	640	218	439	3	660
Orangetown 46	299	100	4	2	405	299	111	4	414
Orangetown 47	248	321	5	0	574	241	348	9	598
Orangetown 48	398	103	4	2	507	399	117	9	525
Orangetown 49	350	409	2	0	761	337	431	13	781
Orangetown 50	252	211	0	0	463	259	207	7	473
Orangetown 51	197	217	0	0	414	186	234	2	422
Orangetown 53	218	287	0	3	508	215	304	1	520
Orangetown 54	194	368	0	0	562	181	410	2	593
Orangetown 55	292	329	0	0	621	275	354	7	636
Orangetown 56	254	228	4	0	486	246	246	8	500
Orangetown 57	186	181	1	0	368	183	208	0	391
