ID        num   DS      RS      x1      x2      x3      WIS     TS        DP      RP      y1      WIP     TP
Orangetown 1	635	203	9	7	3	0	857	  667 	  217 	  9 	  3 	  896 
Orangetown 2	573	74	4	3	3	0	657	  610 	  88 	  4 	  1 	  703 
Orangetown 3	193	318	11	5	3	0	530	  220 	  336 	  5 	  0   	  561 
Orangetown 5	410	69	4	6	2	0	491	  421 	  75 	  5 	  3 	  504 
Orangetown 7	393	50	3	0	1	0	447	  405 	  59 	  8 	  2 	  474 
Orangetown 8	406	72	3	5	4	0	490	  426 	  79 	  9 	  1 	  515 
Orangetown 9	359	474	13	12	1	0	859	  417 	  484 	  13 	  1 	  915 
Orangetown 10	196	279	11	8	5	1	500	  231 	  287 	  10 	  1 	  529 
Orangetown 11	602	87	4	4	6	0	703	  613 	  104 	  13 	  3 	  733 
Orangetown 12	452	198	8	5	9	0	672	  494 	  190 	  7 	  3 	  694 
Orangetown 13	286	209	12	1	4	1	513	  316 	  215 	  4 	  3 	  538 
Orangetown 14	441	104	5	4	1	0	555	  467 	  95 	  6 	  2 	  570 
Orangetown 15	225	42	1	4	0	1	273	  239 	  46 	  4 	  0   	  289 
Orangetown 16	328	194	14	5	4	0	545	  356 	  224 	  5 	  2 	  587 
Orangetown 17	223	341	12	13	7	0	596	  261 	  375 	  7 	  3 	  646 
Orangetown 18	422	90	10	5	1	0	528	  439 	  105 	  7 	  2 	  553 
Orangetown 19	151	304	7	18	4	0	484	  176 	  332 	  4 	  3 	  515 
Orangetown 20	259	505	16	16	2	0	798	  317 	  529 	  11 	  4 	  861 
Orangetown 21	284	179	9	4	2	2	480	  302 	  185 	  11 	  1 	  499 
Orangetown 22	219	404	13	11	1	1	649	  239 	  421 	  11 	  6 	  677 
Orangetown 23	134	261	8	5	5	0	413	  169 	  281 	  7 	  4 	  461 
Orangetown 24	144	309	6	5	1	0	465	  181 	  313 	  6 	  2 	  502 
Orangetown 25	129	290	12	7	3	0	441	  166 	  296 	  8 	  3 	  473 
Orangetown 26	358	392	25	13	4	0	792	  401 	  432 	  14 	  3 	  850 
Orangetown 28	259	324	18	13	1	0	615	  298 	  328 	  12 	  3 	  641 
Orangetown 29	197	356	9	13	2	0	577	  224 	  375 	  10 	  1 	  610 
Orangetown 30	130	294	8	9	3	0	444	  167 	  301 	  8 	  0   	  476 
Orangetown 32	161	55	3	1	2	0	222	  163 	  60 	  0   	  4 	  227 
Orangetown 33	373	197	9	3	3	1	586	  397 	  204 	  11 	  2 	  614 
Orangetown 34	190	324	16	10	0	1	541	  215 	  345 	  10 	  2 	  572 
Orangetown 36	21	11	7	0	0	0	39	  22 	  21 	  1 	  0   	  44 
Orangetown 39	431	429	14	7	7	1	889	  476 	  450 	  12 	  1 	  939 
Orangetown 40	204	204	12	3	3	0	426	  214 	  227 	  7 	  0   	  448 
Orangetown 41	289	446	20	10	6	0	771	  334 	  474 	  5 	  4 	  817 
Orangetown 42	490	417	17	15	4	0	943	  525 	  442 	  17 	  6 	  990 
Orangetown 43	160	327	4	8	5	0	504	  207 	  336 	  4 	  2 	  549 
Orangetown 45	176	418	10	11	2	0	617	  210 	  445 	  10 	  2 	  667 
Orangetown 46	309	83	7	0	1	1	401	  321 	  95 	  3 	  0   	  419 
Orangetown 47	263	288	10	7	2	0	570	  287 	  315 	  5 	  2 	  609 
Orangetown 48	428	108	5	5	0	0	546	  438 	  122 	  4 	  4 	  568 
Orangetown 49	390	372	11	6	3	2	784	  424 	  391 	  8 	  3 	  826 
Orangetown 50	235	191	7	1	2	0	436	  256 	  195 	  4 	  2 	  457 
Orangetown 51	196	187	8	2	2	0	395	  219 	  189 	  3 	  1 	  412 
Orangetown 53	344	603	18	15	6	0	986	  436 	  599 	  10 	  2 	  1047 
Orangetown 54	107	225	7	8	1	1	349	  123 	  241 	  5 	  1 	  370 
Orangetown 55	314	299	13	5	3	0	634	  338 	  323 	  6 	  1 	  668 
Orangetown 56	240	224	16	2	4	0	486	  271 	  241 	  5 	  0   	  517 
Orangetown 57	182	170	10	2	3	0	367	  198 	  195 	  0   	  1 	  394 
