ID     num	DS	RS	TPS 	WIS	TS	DP	RP	WIP	TP
Ramapo 1	143	369	1	0	513	140	416	7	563
Ramapo 10	380	75	1	0	456	394	85	1	480
Ramapo 100	0	0	-	-	0	0	0	-	0
Ramapo 101	15	30	0	0	45	8	79	0	87
Ramapo 102	7	93	0	0	100	3	166	0	169
Ramapo 103	19	103	0	0	122	9	140	3	152
Ramapo 104	14	12	0	0	26	16	13	0	29
Ramapo 105	8	6	0	0	14	9	5	0	14
Ramapo 106	1	7	0	0	8	2	9	0	11
Ramapo 107	0	0	-	-	0	0	0	-	0
Ramapo 108	37	25	0	0	62	37	33	1	71
Ramapo 109	64	87	0	1	152	1	227	1	229
Ramapo 11	214	159	2	0	375	215	180	4	399
Ramapo 110	68	67	0	0	135	63	74	2	139
Ramapo 111	164	202	0	6	372	7	588	3	598
Ramapo 112	41	262	0	2	305	28	527	4	559
Ramapo 113	11	255	0	1	267	9	306	1	316
Ramapo 114	56	236	0	1	293	42	320	2	364
Ramapo 115	256	79	0	1	336	271	113	3	387
Ramapo 116	41	247	0	0	288	30	329	4	363
Ramapo 117	214	95	0	1	310	4	423	1	428
Ramapo 118	567	20	0	0	587	1	604	0	605
Ramapo 119	109	66	0	0	175	104	78	2	184
Ramapo 12	227	60	0	0	287	235	85	1	321
Ramapo 120	14	64	0	0	78	17	71	0	88
Ramapo 121	5	18	0	0	23	4	19	0	23
Ramapo 122	1	18	0	0	19	0	23	0	23
Ramapo 13	351	84	1	1	437	368	187	4	559
Ramapo 14	49	166	1	1	217	25	281	3	309
Ramapo 15	156	216	1	1	374	154	238	3	395
Ramapo 16	491	276	3	0	770	491	323	8	822
Ramapo 17	357	325	4	2	688	358	391	9	758
Ramapo 18	37	293	1	1	332	22	424	0	446
Ramapo 19	281	364	1	5	651	275	486	18	779
Ramapo 2	192	169	5	0	366	189	185	14	388
Ramapo 20	31	196	0	1	228	28	252	2	282
Ramapo 21	102	144	0	1	247	2	457	0	459
Ramapo 22	36	53	0	1	90	34	65	1	100
Ramapo 23	304	87	5	1	397	312	119	1	432
Ramapo 24	35	328	0	0	363	28	408	4	440
Ramapo 25	15	165	0	4	184	8	308	5	321
Ramapo 26	127	244	1	0	372	78	633	4	715
Ramapo 27	95	123	2	0	220	99	144	0	243
Ramapo 28	64	264	0	0	328	5	481	0	486
Ramapo 29	317	373	3	1	694	308	481	5	794
Ramapo 3	189	275	0	2	466	169	458	5	632
Ramapo 30	36	160	0	3	199	3	415	1	419
Ramapo 31	377	293	3	0	673	359	350	15	724
Ramapo 32	127	193	2	1	323	123	239	1	363
Ramapo 33	41	210	0	0	251	28	272	1	301
Ramapo 34	146	359	0	2	507	138	522	6	666
Ramapo 35	331	82	0	4	417	0	552	2	554
Ramapo 36	136	436	0	1	573	93	753	5	851
Ramapo 37	112	391	0	0	503	90	454	5	549
Ramapo 38	135	510	1	1	647	105	627	5	737
Ramapo 39	218	256	5	1	480	219	279	8	506
Ramapo 4	198	200	1	0	399	199	215	3	417
Ramapo 40	49	336	0	0	385	7	681	0	688
Ramapo 41	36	221	0	0	257	3	384	0	387
Ramapo 42	195	37	0	0	232	204	45	0	249
Ramapo 43	268	302	1	2	573	252	467	7	726
Ramapo 44	120	348	0	2	470	94	418	9	521
Ramapo 45	34	29	0	0	63	0	90	1	91
Ramapo 46	116	162	3	0	281	109	208	5	322
Ramapo 47	519	101	4	0	624	536	130	5	671
Ramapo 48	140	163	2	0	305	141	185	1	327
Ramapo 49	45	136	1	1	183	9	329	3	341
Ramapo 5	198	157	1	0	356	211	208	1	420
Ramapo 50	283	172	0	1	456	276	202	5	483
Ramapo 51	374	166	1	1	542	393	270	3	666
Ramapo 52	28	73	0	2	103	3	196	0	199
Ramapo 53	152	98	0	0	250	147	166	2	315
Ramapo 54	180	387	1	3	571	159	496	6	661
Ramapo 55	909	42	0	0	951	2	986	0	988
Ramapo 56	26	293	0	0	319	14	379	2	395
Ramapo 57	149	256	2	1	408	144	348	2	494
Ramapo 58	544	34	0	0	578	1	587	0	588
Ramapo 59	190	437	3	0	630	172	538	15	725
Ramapo 6	169	46	1	1	217	170	66	1	237
Ramapo 60	51	223	0	0	274	43	360	3	406
Ramapo 61	254	163	0	1	418	258	194	5	457
Ramapo 62	161	199	3	1	364	157	238	8	403
Ramapo 63	394	43	5	1	443	421	62	0	483
Ramapo 64	57	128	0	1	186	8	399	1	408
Ramapo 65	223	76	0	3	302	242	116	4	362
Ramapo 66	304	184	2	0	490	290	211	7	508
Ramapo 67	256	255	4	0	515	242	398	9	649
Ramapo 68	185	180	0	0	365	171	271	1	443
Ramapo 69	294	208	2	1	505	296	225	6	527
Ramapo 7	307	181	4	1	493	310	214	8	532
Ramapo 70	307	90	3	0	400	323	132	2	457
Ramapo 71	113	12	1	0	126	130	39	1	170
Ramapo 72	15	16	0	0	31	13	20	0	33
Ramapo 73	160	109	2	2	273	156	125	6	287
Ramapo 74	73	183	0	1	257	29	451	1	481
Ramapo 75	255	209	1	1	466	253	226	8	487
Ramapo 76	133	229	2	3	367	129	271	3	403
Ramapo 77	248	176	2	1	427	245	201	3	449
Ramapo 78	199	142	2	0	343	202	160	6	368
Ramapo 79	431	287	2	1	721	418	346	11	775
Ramapo 8	293	115	4	0	412	311	156	7	474
Ramapo 80	193	378	3	3	577	161	503	12	676
Ramapo 81	176	71	2	0	249	175	84	4	263
Ramapo 82	127	96	1	0	224	131	103	2	236
Ramapo 83	380	178	1	3	562	363	231	7	601
Ramapo 84	30	289	0	3	322	0	558	2	560
Ramapo 85	86	205	0	3	294	6	472	1	479
Ramapo 86	30	302	0	0	332	12	367	0	379
Ramapo 87	75	25	0	0	100	79	42	1	122
Ramapo 88	45	210	1	2	258	3	530	2	535
Ramapo 89	261	59	1	0	321	280	95	6	381
Ramapo 9	134	207	1	0	342	122	263	5	390
Ramapo 90	321	248	4	1	574	308	343	4	655
Ramapo 91	61	46	0	0	107	63	64	1	128
Ramapo 92	217	100	0	0	317	213	131	2	346
Ramapo 93	58	184	0	2	244	6	479	1	486
Ramapo 94	310	69	1	1	381	328	82	3	413
Ramapo 95	514	28	0	1	543	4	562	0	566
Ramapo 96	99	249	0	2	350	25	683	3	711
Ramapo 97	292	72	0	3	367	0	494	2	496
Ramapo 98	735	26	0	0	761	5	779	0	784
Ramapo 99	15	16	1	0	32	10	58	0	68
