ID     num      DS      RS      x1      x2      x3      WIS     TS        DP      RP      y1      WIP     TP
Ramapo 1	205	222	53	13	62	4	559	  226 	  357 	  5 	  2 	  590 
Ramapo 2	392	247	8	21	12	0	680	  431 	  283 	  3 	  7 	  724 
Ramapo 3	241	210	32	3	87	0	573	  264 	  367 	  6 	  1 	  638 
Ramapo 4	159	197	14	27	1	0	398	  189 	  236 	  10 	  1 	  436 
Ramapo 5	214	130	6	21	7	0	378	  257 	  172 	  2 	  2 	  433 
Ramapo 6	220	39	5	0	10	0	274	  227 	  68 	  1 	  0   	  296 
Ramapo 7	374	265	13	27	8	0	687	  415 	  327 	  7 	  4 	  753 
Ramapo 8	417	72	11	2	4	0	506	  466 	  101 	  3 	  0   	  570 
Ramapo 9	160	200	9	13	9	0	391	  173 	  241 	  3 	  1 	  418 
Ramapo 10	477	67	3	2	3	0	552	  512 	  78 	  0   	  0   	  590 
Ramapo 11	212	161	7	14	1	0	395	  235 	  193 	  2 	  0   	  430 
Ramapo 12	284	25	0	1	7	0	317	  314 	  35 	  2 	  2 	  353 
Ramapo 13	384	71	11	1	19	0	486	  418 	  120 	  3 	  0   	  541 
Ramapo 14	60	136	46	0	62	2	306	  33 	  350 	  1 	  1 	  385 
Ramapo 15	137	168	13	20	2	0	340	  154 	  219 	  4 	  2 	  379 
Ramapo 16	382	192	11	12	4	0	601	  434 	  225 	  3 	  0   	  662 
Ramapo 17	477	278	16	43	13	0	827	  512 	  348 	  13 	  0   	  873 
Ramapo 18	37	201	56	3	68	2	367	  39 	  384 	  1 	  5 	  429 
Ramapo 19	379	278	42	15	57	1	772	  418 	  397 	  7 	  4 	  826 
Ramapo 20	26	182	71	1	78	1	359	  27 	  355 	  2 	  0   	  384 
Ramapo 21	186	303	57	3	111	4	664	  7 	  781 	  1 	  0   	  789 
Ramapo 22	42	37	3	25	0	0	107	  54 	  58 	  1 	  0   	  113 
Ramapo 23	308	40	6	5	1	0	360	  327 	  61 	  3 	  0   	  391 
Ramapo 24	29	172	86	1	59	0	347	  38 	  351 	  2 	  1 	  392 
Ramapo 25	61	315	56	5	163	2	602	  64 	  674 	  2 	  1 	  741 
Ramapo 26	93	103	12	1	19	0	228	  98 	  196 	  0   	  1 	  295 
Ramapo 27	245	146	10	8	5	1	415	  257 	  199 	  2 	  0   	  458 
Ramapo 28	51	198	51	0	97	0	397	  14 	  453 	  0   	  0   	  467 
Ramapo 29	387	242	37	6	61	0	733	  405 	  375 	  9 	  3 	  792 
Ramapo 30	30	203	26	0	60	1	320	  13 	  395 	  3 	  2 	  413 
Ramapo 31	344	291	12	27	10	0	684	  374 	  355 	  12 	  1 	  742 
Ramapo 32	149	94	16	7	16	0	282	  154 	  145 	  1 	  0   	  300 
Ramapo 33	44	114	43	2	75	0	278	  48 	  245 	  1 	  0   	  294 
Ramapo 34	195	271	49	13	83	0	611	  220 	  453 	  2 	  1 	  676 
Ramapo 35	244	94	21	2	50	0	411	  0   	  528 	  0   	  0   	  528 
Ramapo 36	76	175	75	0	129	1	456	  80 	  437 	  1 	  2 	  520 
Ramapo 37	138	235	101	10	44	0	528	  162 	  385 	  4 	  2 	  553 
Ramapo 38	110	306	77	4	85	2	584	  114 	  492 	  4 	  1 	  611 
Ramapo 39	210	223	10	26	1	0	470	  235 	  270 	  7 	  1 	  513 
Ramapo 40	25	274	66	0	110	0	475	  20 	  544 	  2 	  2 	  568 
Ramapo 41	22	152	52	0	100	0	326	  17 	  348 	  0   	  0   	  365 
Ramapo 42	260	22	4	1	0	0	287	  270 	  34 	  0   	  0   	  304 
Ramapo 43	332	223	41	15	66	0	677	  369 	  351 	  6 	  0   	  726 
Ramapo 44	110	175	67	4	76	0	432	  123 	  331 	  3 	  2 	  459 
Ramapo 45	15	25	4	0	11	1	56	  0   	  69 	  0   	  0   	  69 
Ramapo 46	141	140	15	22	11	0	329	  156 	  187 	  3 	  4 	  350 
Ramapo 47	487	70	8	1	1	0	567	  511 	  98 	  2 	  1 	  612 
Ramapo 48	132	142	10	20	4	0	308	  153 	  194 	  4 	  1 	  352 
Ramapo 49	24	97	15	0	76	0	212	  12 	  242 	  1 	  0   	  255 
Ramapo 50	357	87	22	3	15	1	485	  371 	  138 	  8 	  3 	  520 
Ramapo 51	447	97	14	4	19	0	581	  470 	  165 	  2 	  1 	  638 
Ramapo 52	18	69	18	0	53	0	158	  0   	  189 	  0   	  1 	  190 
Ramapo 53	226	57	5	1	21	0	310	  233 	  105 	  2 	  0   	  340 
Ramapo 54	187	228	64	8	81	0	568	  205 	  406 	  1 	  4 	  616 
Ramapo 55	691	75	8	0	10	0	784	  2 	  826 	  0   	  0   	  828 
Ramapo 56	54	336	111	3	187	1	692	  62 	  678 	  2 	  1 	  743 
Ramapo 57	218	239	13	11	37	0	518	  231 	  328 	  4 	  1 	  564 
Ramapo 58	515	39	9	0	20	0	583	  0   	  604 	  1 	  0   	  605 
Ramapo 59	209	263	86	24	72	0	654	  246 	  464 	  7 	  0   	  717 
Ramapo 60	105	335	110	2	118	0	670	  106 	  615 	  1 	  4 	  726 
Ramapo 61	257	142	8	9	4	0	420	  285 	  167 	  7 	  1 	  460 
Ramapo 62	241	141	23	22	13	0	440	  273 	  198 	  3 	  2 	  476 
Ramapo 63	485	22	0	4	0	1	512	  508 	  31 	  3 	  0   	  542 
Ramapo 64	93	160	50	0	147	0	450	  81 	  452 	  1 	  0   	  534 
Ramapo 65	567	120	9	4	21	1	722	  618 	  174 	  5 	  2 	  799 
Ramapo 66	300	161	9	16	9	0	495	  316 	  200 	  4 	  1 	  521 
Ramapo 67	291	181	45	6	45	0	568	  292 	  309 	  8 	  2 	  611 
Ramapo 68	200	125	7	8	50	2	392	  207 	  203 	  3 	  1 	  414 
Ramapo 69	305	204	8	9	2	0	528	  323 	  230 	  7 	  0   	  560 
Ramapo 70	359	56	4	0	7	0	426	  389 	  76 	  1 	  0   	  466 
Ramapo 71	202	122	22	0	45	1	392	  213 	  257 	  0   	  2 	  472 
Ramapo 72	44	48	10	2	9	0	113	  46 	  70 	  0   	  0   	  116 
Ramapo 73	102	73	6	1	0	0	182	  112 	  86 	  3 	  0   	  201 
Ramapo 74	44	150	37	0	118	1	350	  35 	  386 	  0   	  1 	  422 
Ramapo 75	244	151	5	21	4	1	426	  267 	  175 	  8 	  3 	  453 
Ramapo 76	177	208	4	28	9	1	427	  197 	  252 	  8 	  2 	  459 
Ramapo 77	258	168	8	6	7	1	448	  281 	  180 	  5 	  1 	  467 
Ramapo 78	250	131	3	21	6	0	411	  280 	  141 	  5 	  5 	  431 
Ramapo 79	349	229	8	17	20	0	623	  389 	  265 	  5 	  2 	  661 
Ramapo 80	139	32	7	2	10	0	190	  141 	  56 	  1 	  1 	  199 
Ramapo 81	157	31	3	3	0	0	194	  160 	  43 	  1 	  0   	  204 
Ramapo 82	163	81	2	10	4	0	260	  184 	  87 	  0   	  0   	  271 
Ramapo 83	323	151	8	17	6	0	505	  353 	  181 	  8 	  1 	  543 
Ramapo 84	57	350	117	1	128	0	653	  55 	  735 	  1 	  1 	  792 
Ramapo 85	79	202	44	0	83	2	410	  7 	  465 	  0   	  0   	  472 
Ramapo 86	101	278	99	4	151	0	633	  131 	  548 	  4 	  2 	  685 
Ramapo 87	256	47	4	1	2	0	310	  261 	  64 	  2 	  0   	  327 
Ramapo 88	28	207	34	2	93	1	365	  3 	  454 	  1 	  2 	  460 
Ramapo 89	299	32	6	2	5	0	344	  320 	  55 	  4 	  1 	  380 
Ramapo 90	313	237	15	26	7	0	598	  362 	  288 	  6 	  1 	  657 
Ramapo 91	78	19	3	2	6	1	109	  84 	  34 	  0   	  0   	  118 
Ramapo 92	237	103	2	4	6	0	352	  256 	  115 	  2 	  0   	  373 
Ramapo 93	43	253	43	0	80	0	419	  13 	  515 	  0   	  3 	  531 
Ramapo 94	419	48	1	0	1	0	469	  438 	  55 	  1 	  1 	  495 
Ramapo 95	413	44	11	0	8	0	476	  2 	  496 	  0   	  0   	  498 
Ramapo 96	79	253	37	2	121	2	494	  30 	  586 	  0   	  3 	  619 
Ramapo 97	370	194	41	0	92	1	698	  5 	  839 	  0   	  0   	  844 
Ramapo 98	953	61	10	0	10	1	1035	  4 	  1085 	  0   	  0   	  1089 
Ramapo 99	16	5	0	0	2	0	23	  16 	  11 	  0   	  0   	  27 
Ramapo 100	0	0	0	0	0	0	0	  0   	  1 	  0   	  0   	  1 
Ramapo 101	9	48	6	0	13	0	76	  9 	  81 	  0   	  0   	  90 
Ramapo 102	6	56	13	0	34	0	109	  1 	  123 	  0   	  0   	  124 
Ramapo 103	5	52	22	2	9	0	90	  9 	  104 	  0   	  0   	  113 
Ramapo 104	17	6	3	0	2	0	28	  17 	  11 	  0   	  0   	  28 
Ramapo 105	18	5	0	0	0	0	23	  18 	  5 	  0   	  0   	  23 
Ramapo 106	0	3	3	0	5	0	11	  0   	  11 	  0   	  0   	  11 
Ramapo 107	3	2	0	0	0	0	5	  3 	  2 	  0   	  0   	  5 
Ramapo 108	32	14	1	0	1	0	48	  35 	  14 	  0   	  0   	  49 
Ramapo 109	1	0	0	0	0	0	1	  1 	  0   	  0   	  0   	  1 
Ramapo 110	84	81	2	8	2	0	177	  100 	  87 	  5 	  0   	  192 
