ID        num   DS      RS      x1      x2      x3      WIS     TS        DP      RP      y1      WIP     TP
StonyPoint 1	213	235	12	4	4	0	468	  229 	  282 	  7 	  1 	  519 
StonyPoint 2	307	361	14	6	1	1	690	  323 	  410 	  8 	  2 	  743 
StonyPoint 3	203	317	13	7	3	0	543	  215 	  365 	  11 	  0   	  591 
StonyPoint 4	302	484	16	4	0	0	806	  319 	  521 	  7 	  4 	  851 
StonyPoint 5	160	249	8	3	3	0	423	  173 	  275 	  6 	  1 	  455 
StonyPoint 6	315	329	17	7	0	0	668	  330 	  395 	  6 	  0   	  731 
StonyPoint 7	282	391	23	7	3	0	706	  301 	  450 	  4 	  2 	  757 
StonyPoint 8	254	389	14	8	6	1	672	  278 	  431 	  10 	  2 	  721 
StonyPoint 9	212	251	12	10	1	0	486	  222 	  278 	  4 	  2 	  506 
StonyPoint 10	175	234	8	5	3	0	425	  181 	  266 	  5 	  1 	  453 
StonyPoint 11	219	297	9	4	2	0	531	  226 	  329 	  9 	  2 	  566 
StonyPoint 12	260	351	14	1	2	0	628	  287 	  376 	  6 	  0   	  669 
StonyPoint 13	345	497	35	10	5	1	893	  365 	  549 	  9 	  1 	  924 
